type_approval,country,source,confidence,evidence,generation,item,ta_pdf,issuer_prefix,issuer_authority,issuer_country,issuer_check,issuer_expected,issuer_table_source,issuer_note,issuer_authority_raw
e1-212-6,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0-AETR - Micardo Tachograph V3.6 R1.0 Tachograph V2.0 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-211-5,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N V2.0 - Micardo Tachograph V3.6 R1.0 Tachograph V2.0 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-236,Germany,eNN-Praefix (e1),Annahme,,G1,Card - STARCOS 3.4 ID Tachograph P3 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-186-05,Germany,eNN-Praefix (e1),Annahme,,G1,HT 030 000 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-209-05,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - TCOS Tachograph - AETR JRC-DTC/AC-040/054/MA01/2010,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-235-00,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TRU/COS Tachograph card N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-201-04,Germany,eNN-Praefix (e1),Annahme,,G1,HEGARD TPD.A and TPD.B N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-222-06,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-4 V02.15 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-209-04,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - TCOS Tachograph - AETR JRC-DTC/AC-040/054/MA01/2010,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-196-03,Germany,eNN-Praefix (e1),Annahme,,G1,PASACO Tacho N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-222-05,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-4 V02.15 JRC-DTC/53-065/2012,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-211-04,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N v2.0 Micardo Tachograph V3.6 R1.0 Tachograph V2.0 JRC-DTC/81-059a/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-222-04,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-4 V02.15 JRC-DTC/53-065/2012,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-211-03,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N V2.0 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e37-0002,Türkiye,eNN-Praefix (e37),Annahme,,G1,Paper - Digital Tachograph Thermal Printer Paper N.A.,,Türkiye,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Sanayi ve Teknoloji Bakanlığı,Bescheid,,
e1-202-03,Germany,eNN-Praefix (e1),Annahme,,G1,Paper TACHO2 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-215-02,Germany,eNN-Praefix (e1),Annahme,,G1,Paper TACHO2b N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-222-03,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-4 V02.10 JRC-DTC/53-065/2012,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-230-00,Germany,eNN-Praefix (e1),Annahme,,G1,Paper DTM001 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-228,Germany,eNN-Praefix (e1),Annahme,,G1,Card - STARCOS 3.4 ID Tachograph P2 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-231,Germany,eNN-Praefix (e1),Annahme,,G1,PASACO Tacho N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-218-02,Germany,eNN-Praefix (e1),Annahme,,G1,Paper TACHO SIMPLE N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-220-01,Germany,eNN-Praefix (e1),Annahme,,G1,Paper DTJ001 ,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-84-18,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 2.0U1 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-182-10,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TrÃ¼b AG - TCOS Tachograph N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e2-151-Extension 1,France,eNN-Praefix (e2),Annahme,,G1,AY6080009 Ind N/A,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-152-Extension 2,France,eNN-Praefix (e2),Annahme,,G1,ACXXXXXX - N/A,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-211-02,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N V2.0 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-212-05,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0-AETR N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-193-03,Germany,eNN-Praefix (e1),Annahme,,G1,DPROLL N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-216-02,Germany,eNN-Praefix (e1),Annahme,,G1,Card - STARCOS 3.4 ID Tachograph JRC-DTC/40-057/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-84-16,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 2.0a JRC_DTC/A1-075/2012,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-223-01,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper model TPD.E N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-190-03,Germany,eNN-Praefix (e1),Annahme,,G1,DT 001 versions KLR 44 and T04 13060 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-202-02,Germany,eNN-Praefix (e1),Annahme,,G1,TACHO2 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-84-15,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 1.3v JRC_DTC/A1-048,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-218-01,Germany,eNN-Praefix (e1),Annahme,,G1,Tacho Simple N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-196-02,Germany,eNN-Praefix (e1),Annahme,,G1,Tacho N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-191-07,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N Micardo Tachograph Version 1.0 R1.0 JRC_DTC/81-030/2006,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-208-01,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N-AETR Micardo Tachograph Version 1.0 R1.0 JRC_DTC/81-030/2006,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-211-01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Morpho Tachograph N V2.0 Micardo Tachograph Version 3.6 R1.0 Tachograph V2.0 JRC-DTC/81-059a/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-212-04,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0-AETR Micardo Tachograph Version 3.6 R1.0 Tachograph V2.0 JRC-DTC/81-059b/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-215-01,Germany,eNN-Praefix (e1),Annahme,,G1,TACO2b N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-212-02,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N V2.0-AETR Micardo Tachograph V3.6 R1.0 Tachograph V2.0 JRC-DTC/81-059b/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-214-02,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper 664.008.2241 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-225,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TCOS Tachograph card JRC_DTC/45-070/2012,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-217-02,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper model EPR700 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-201_03,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper model TPD versions TPD.A and TPD.B N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-216_01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - STARCOS 3.4 ID Tachograph JRC_DTC/40-057/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-186-04,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper model 030 000 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-212-01,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - Morpho Tachograph N v2.0-AETR Micardo Tachograph V3.6 R1.0 Tachograph V2.0 JRC-DTC/81-059b/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-209-03,Germany,eNN-Praefix (e1),Annahme,AETR-Karte: Zielland ist NICHT das Ausstellerland,G1,Card - TCOS Tachograph - AETR JRC-DTC/AC-040/2007,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-174-06,Germany,eNN-Praefix (e1),Annahme,,G1,Original VDO Druckerpapier fÃ¼r DTCO. Version 1: DTCO PP1 Version 2: DTCO PPx N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-189-04,Germany,eNN-Praefix (e1),Annahme,,G1,Druckerpapier TP Version 1: Druckerpapier FI Disc TP1 Version 2: Druckerpapier FI Disc TP2 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-223-00,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper TPD.E N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1_84_13,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 1.4b JRC_DTC/A1-063/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-175-07,Germany,eNN-Praefix (e1),Annahme,,G1,MS - KITAS 2171 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-217-01,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper - Model 84249990eEF0 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e25_002,Croatia,JRC-Kartenname,belegt,Card - Digital Tachograph cards for Croatia JRC_DTC/40-057/2011,G1,Card - Digital Tachograph cards for Croatia JRC_DTC/40-057/2011,,Croatia,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),DZM - Državni zavod za mjeriteljstvo,Bescheid,,
e1-84-12,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 1.4s JRC_DTC/A1-063/2011,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-220,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper - Model DTJ001 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e8_01,Bosnia and Herzegovina,JRC-Kartenname,belegt,Card - Digital Tachograph cards for Bosnia and Herzegovina JRC_DTC/40-057/2011,G1,Card - Digital Tachograph cards for Bosnia and Herzegovina JRC_DTC/40-057/2011,,Czechia,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Ministerstvo dopravy,Bescheid,,
e1-191-06,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachograph Card N MICARDO Tachograph Version 1.0 R1.0 JRC_DTC/81-030/2006,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-188-03,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper - Model 664.008.2206 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-214-01,Germany,eNN-Praefix (e1),Annahme,,G1,Thermal printer paper - Model 664.008.2241 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e2-32-2,France,eNN-Praefix (e2),Annahme,,G1,Card - Cartes tachygraphiques Imprimerie Nationale JRC_DTC/50-047/2009,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-191-05,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachograph Card N MICARDO Tachograph Version 1.0 R1.0 JRC_DTC/81-030/2006,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-191-04,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachograph Card N MICARDO Tachograph Version 1.0 R1.0 JRC_DTC/81-030/2006,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-175-06,Germany,eNN-Praefix (e1),Annahme,,G1,MS - KITAS 2171 N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-200-03,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-3 V01.03 JRC_DTC/32-041/2008,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-217,Germany,eNN-Praefix (e1),Annahme,,G1,842499901EFO N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-218,Germany,eNN-Praefix (e1),Annahme,,G1,TACHO SIMPLE N/A,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e2_26_6,France,eNN-Praefix (e2),Annahme,,G1,MS - IS2000 SMARTACH LXRY N/A,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-36,Albania,JRC-Kartenname,belegt,"Card - AL Digital Tachograph Cards, Albania JRC_DTC/50-47/2009",G1,"Card - AL Digital Tachograph Cards, Albania JRC_DTC/50-47/2009",,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-200-02,Germany,eNN-Praefix (e1),Annahme,,G1,VU - EFAS-V01.03 JRC_DTC/32-041/2008,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1-181-04,Germany,eNN-Praefix (e1),Annahme,,G1,Card - TACHOSMART Version 1.0 JRC_DTC/44-045/2008,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e49-02,Cyprus,JRC-Kartenname,belegt,"Card - CY Digital Tachograph Cards, Cyprus JRC_DTC/50-47/2009",G1,"Card - CY Digital Tachograph Cards, Cyprus JRC_DTC/50-47/2009",,Cyprus,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Department of Road Transport,Liste,,
e2_33,Andorra,JRC-Kartenname,belegt,Card - DT cards for Andorra JRC_DTC/50-047/2009,G1,Card - DT cards for Andorra JRC_DTC/50-047/2009,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2_34,Monaco,JRC-Kartenname,belegt,Card - DT cards for Monaco JRC_DTC/50-047/2009,G1,Card - DT cards for Monaco JRC_DTC/50-047/2009,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2_35,Malta,JRC-Kartenname,belegt,Card - DT cards for Malta JRC_DTC/50-047/2009,G1,Card - DT cards for Malta JRC_DTC/50-047/2009,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e26_001_00,Slovenia,eNN-Praefix (e26),Annahme,,G1,Card - Tachograph cards JRC/028/DTC,,Slovenia,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),AVP - Javna agencija RS za varnost prometa,Bescheid,Ministrstvo za infrastrukturo,
e2_32-1,France,eNN-Praefix (e2),Annahme,,G1,Card - Cartes tachygraphiques Imprimerie Nationale JRC_DTC/50-47/2009,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2_30-8,France,eNN-Praefix (e2),Annahme,,G1,"VU - SMARTACH STD II type F2 version 921775 Ind D, type Light version 921779 Ind D, type I1 version 921526 Ind C, type I2 version 921862 Ind A, type LIGHT EL version 921868 Ind A. JRC/009a/DTC",,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2_29-9,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH ADR type DC01 version 921481 Ind E JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2_30-7,France,eNN-Praefix (e2),Annahme,,G1,"VU - SMARTACH STD II type Light REMOTE version 921873 Ind B, type I1 REMOTE version 921892 Ind A, type I3 REMOTE version 921889 Ind A JRC/009a/DTC",,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1-200-01,Germany,eNN-Praefix (e1),Annahme,,G1,VU - Digital Tachograph V01.02 JRC_DTC/32-041/2008,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e3_1001/1,Italy,eNN-Praefix (e3),Annahme,,G1,Card - Smart-Tacho V1.1 JRC/016/DTC,,Italy,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),MIT - Ministero delle Infrastrutture e dei Trasporti,Bescheid,,
e1_181_03,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachosmart Version 1.0 JRC_DTC/44-045/2008,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e1_84_05,Germany,eNN-Praefix (e1),Annahme,,G1,VU - DTCO 1381 Release 1.2U Software 01.02.14 JRC/027/DTC,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
e2-29-7,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH ADR type DC01 versions 921481 Ind B et C JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-25-20,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD types Light versions 921439 Ind D et Fiat 1 921459 Ind A JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-30-4,France,eNN-Praefix (e2),Annahme,,G1,"VU - SMARTACH STD II types F2 versions 921775 Ind A et B, type Light version 921779 Ind B, type I1 version 921526 Ind A JRC/009a/DTC",,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-30-3,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD II JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-31,France,eNN-Praefix (e2),Annahme,,G1,Card - M256LFCHRON_SI_A5_05_01 rÃ©v.B JRC/028/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-29-3,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH ADR JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-25-18,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD Light 1 version 921439 Indice D JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-25-19,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD Light 2 version 921463 Indice D JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-30,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD II JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e2-25-17,France,eNN-Praefix (e2),Annahme,,G1,VU - SMARTACH STD FIAT 1 version 921459 Indice A JRC/009a/DTC,,France,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),Préfet du Nord / CNRV / DREAL,Bescheid,Ministère de l'économie et des finances (DGE) - Préfecture du Nord,
e1_181_01,Germany,eNN-Praefix (e1),Annahme,,G1,Card - Tachosmart v.1.0 JRC/002/DTC,,Germany,,,nicht pruefbar (kein PDF/keine Behoerde erkannt),KBA - Kraftfahrt-Bundesamt,Bescheid,,
